X,Y,Price,Square_Feet,Address,Date_Sold
-112.25299,34.555291,"$209,000","1,279","877 Mountain Brush Dr, Dewey, AZ 86327",10/10/2022
-113.046865,35.335507,"$209,000","1,186","54505 Castano Rd, Seligman, AZ 86337",10/3/2022
-111.916175,34.722805,"$210,000","1,248","10075 E Dees Ln, Cornville, AZ 86325",1/17/2023
-112.565833,34.560278,"$215,000","629","1337 N Skyline Dr, Prescott, AZ 86305",11/23/2022
-112.33056,34.635877,"$217,000","1,128","6500 N Warbonnet Dr, Prescott Valley, AZ 86314",11/30/2022
-112.46725,34.572857,"$220,000","1,476","371 Dogwood Ln, Prescott, AZ 86301",9/23/2022
-112.501298,34.86014,"$220,000","1,764","1975 W Rolling Hills Rd, Paulden, AZ 86334",1/13/2023
-112.756622,34.213628,"$225,000","1,600","23174 S Lakewood Dr, Yarnell, AZ 85362",12/25/2022
-112.747451,34.223279,"$225,500","1,207","16620 W Shrine Dr, Yarnell, AZ 85362",11/18/2022
-112.337712,34.601412,"$228,000","1,296","4067 N Fiesta Way, Prescott Valley, AZ 86314",10/24/2022
-112.24017,34.501001,"$230,000","1,212","12858 E Chaparral St, Humboldt, AZ 86329",10/12/2022
-112.32419,34.612716,"$230,000","1,392","4841 N Noel Dr, Prescott Valley, AZ 86314",1/9/2023
-112.128467,34.071471,"$233,000","1,512","20330 E Wagon Wheel Cir, Black Canyon City, AZ 85324",9/29/2022
-112.321496,34.601259,"$235,000","1,200","4034 N Robert Rd, Prescott Valley, AZ 86314",11/21/2022
-112.320412,34.623032,"$235,000","1,210","5528 N Mesquite Dr, Prescott, AZ 86314",9/21/2022
-112.228964,34.394743,"$235,900","1,738","13320 E Main St, Mayer, AZ 86333",12/16/2022
-111.779713,34.641698,"$237,000","948","4965 N Montezuma Ave, Rimrock, AZ 86335",9/19/2022
-112.240334,34.501253,"$240,000","1,248","12848 E Chaparral St, Dewey, AZ 86327",11/7/2022
-112.018085,34.710301,"$240,000","1,188","831 E Peila Ave, Cottonwood, AZ 86326",9/26/2022
-112.854705,34.163116,"$243,000","1,487","26710 S Grandview Dr W, Congress, AZ 85332",11/14/2022
-112.750104,34.224409,"$244,900","1,808","22425 S Oak Way, Yarnell, AZ 85362",11/10/2022
-112.5065,34.782771,"$245,000","768","2510 N Sioux Dr, Chino Valley, AZ 86323",11/21/2022
-111.857348,34.560312,"$245,000","1,760","172 W Sunland Dr, Camp Verde, AZ 86322",12/6/2022
-112.480727,34.530888,"$247,500","682","717 Ute Rd, Prescott, AZ 86303",12/7/2022
-112.324254,34.59007,"$249,745","1,128","8097 E Donna Rd, Prescott Valley, AZ 86314",10/12/2022
-112.323089,34.608533,"$250,000","1,200","4544 N Noel Dr, Prescott Valley, AZ 86314",1/13/2023
-112.308206,34.622769,"$250,000","1,200","8901 E Waco Ct, Prescott Valley, AZ 86314",12/7/2022
-112.250347,34.551739,"$250,000","1,056","636 Mesquite Tree Dr, Dewey, AZ 86327",12/16/2022
-111.849336,34.536025,"$250,000","1,117","2311 S Sunset Dr, Camp Verde, AZ 86322",1/3/2023
-112.147945,34.067818,"$250,000","1,008","19261 E Abbott St, Black Canyon City, AZ 85324",9/14/2022
-113.253103,35.227522,"$250,000","1,270","43900 W Weathervane Rd, Seligman, AZ 86337",10/27/2022
-112.308206,34.622769,"$250,000","1,200","8901 E Waco Ct #9, Prescott Valley, AZ 86314",12/7/2022
-112.645289,35.278017,"$252,500","1,429","9845 W Gleed Station Rd, Ash Fork, AZ 86320",10/7/2022
-112.466654,34.901974,"$255,000","1,026","24470 N Yosemite St, Paulden, AZ 86334",9/15/2022
-112.107882,34.308939,"$258,500","1,152","20231 E Ash Creek Rd, Mayer, AZ 86333",9/30/2022
-112.107649,34.308529,"$259,000","1,853","20243 E Ash Creek Rd, Mayer, AZ 86333",12/31/2022
-112.45676,34.731255,"$259,999","1,364","985 W Damion Loop, Chino Valley, AZ 86323",12/16/2022
-112.357876,34.590678,"$260,000","1,200","3220 N Prescott East Hwy, Prescott Valley, AZ 86314",9/19/2022
-112.35481,34.596512,"$260,000","1,220","6279 E Antelope Ln, Prescott Valley, AZ 86314",11/7/2022
-111.767125,34.629075,"$260,000","1,123","4785 E Oswego St, Rimrock, AZ 86335",11/1/2022
-112.350524,34.552653,"$260,395","576","6700 E Cibola Cir, Prescott, AZ 86303",1/18/2023
-112.019342,34.745186,"$262,500","967","710 N 8th St, Cottonwood, AZ 86326",11/22/2022
-111.779003,34.516779,"$263,000","1,269","4270 E Valley View Rd, Camp Verde, AZ 86322",12/16/2022
-112.324227,34.614923,"$265,000","989","8030 E Manley Dr, Prescott Valley, AZ 86314",11/22/2022
-112.474477,34.549023,"$265,000","612","415 Comfort Ave, Prescott, AZ 86301",9/30/2022
-112.473386,34.548295,"$265,000","814","445 Campbell St, Prescott, AZ 86301",11/14/2022
-112.842786,34.155866,"$265,000","1,038","22235 W Gayle Ct, Congress, AZ 85332",11/14/2022
-112.433128,34.749087,"$265,000","1,520","1835 E Grasshopper Ln, Chino Valley, AZ 86323",10/25/2022
-111.980125,34.703672,"$265,000","1,056","4277 E Del Rio Dr, Cottonwood, AZ 86326",1/3/2023
-112.240459,34.501388,"$265,000","900","12838 E Chaparral St, Humboldt, AZ 86329",12/16/2022
-111.79456,34.627489,"$267,000","900","3245 E Montezuma Ave, Rimrock, AZ 86335",9/22/2022
-112.25542,34.537323,"$268,000","2,318","315 S Pony Pl, Dewey, AZ 86327",1/11/2023
